index,code,description,cp,b0,b1,b2
1,5856,End stage renal disease,-113,0.5931324641664328,1.2993960818663368e-4,-0.003371492622598403
2,4019,Unspecified essential hypertension,-29,0.5593627162887157,2.8581943675721284e-4,-0.006215498617405182
3,496,"Chronic airway obstruction, not elsewhere classified",-363,0.49072744098894655,-0.12595898312621603,0.12619602214405312
4,25000,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",-319,0.5633968148506514,0.005145092228269706,-0.00553976192523124
5,486,"Pneumonia, organism unspecified",-96,0.2032145932934404,4.663511866425649e-4,0.005296646129549158
6,28521,Anemia in chronic kidney disease,-129,0.5705049353421026,9.634791766499629e-4,-0.003950300249654969
7,7862,Cough,-98,0.3275936668248912,4.597530665629168e-4,0.004763017974557237
8,51889,"Other diseases of lung, not elsewhere classified",-110,0.2619606510448762,4.6237292217704936e-4,0.004648052711284255
9,4011,Benign essential hypertension,-230,0.5425036178842614,5.058605192412924e-4,-0.0013406752982749238
10,78605,Shortness of breath,-103,0.35394324224090035,3.580586516094634e-4,0.0027247199395961513
11,2724,Other and unspecified hyperlipidemia,-333,0.46974819191232886,-0.003932756012414486,0.0036667913311779644
12,78650,"Chest pain, unspecified",-113,0.3591556029424673,1.5316149222577996e-4,0.0015260210457730718
13,2809,"Iron deficiency anemia, unspecified",-296,0.6815390831542669,0.005071483637767238,-0.005826079402015237
14,2859,"Anemia, unspecified",-294,0.4468048696452033,-0.00175171977291233,0.0022929133401643656
15,42731,Atrial fibrillation,-337,0.48677689759160236,-0.004309713089682864,0.004666802802612586
16,7242,Lumbago,-114,0.515416060711369,8.714006979665969e-6,-0.0020292038760480378
17,7140,Rheumatoid arthritis,-351,0.5985985167195552,0.008599384531296547,-0.0091782171133533
18,78079,Other malaise and fatigue,-106,0.5302333490173896,2.664432387636758e-4,0.002283755233741192
19,4280,"Congestive heart failure, unspecified",-58,0.4980598770890234,3.5041961676465756e-4,0.0027638393713366118
20,78609,Other respiratory abnormalities,-132,0.2982920183937296,-2.828815056107248e-4,0.0031734410020902645
21,78900,"Abdominal pain, unspecified site",-364,0.41330471896773713,-0.5866952810324969,0.5869677045103513
22,5119,Unspecified pleural effusion,-102,0.21935402874713647,5.244374273154995e-4,0.005857351166207533
23,7866,"Swelling, mass, or lump in chest",-117,0.13849959671509038,2.190591987282662e-4,0.005264700118697439
24,1629,"Malignant neoplasm of bronchus and lung, unspecified",-173,0.41088204689851326,8.308608821867809e-4,0.0012667793098611099
25,2449,Unspecified acquired hypothyroidism,-1,0.441549858517931,-8.538341827431824e-5,NA
26,41401,Coronary atherosclerosis of native coronary artery,-267,0.5831347815201912,0.0010160209559008707,-0.0013410258466701982
27,5990,"Urinary tract infection, site not specified",-224,0.4506744002244865,-7.437163912315954e-4,9.775287518542044e-4
28,7295,Pain in limb,-92,0.3960842219731688,6.302814984804637e-5,-0.001982960835392746
29,7931,Lung field,-111,0.2341640842278945,4.5094620662242135e-4,0.004940593843455111
30,4660,Acute bronchitis,-128,0.4499247230807762,3.218435603390523e-4,0.0010763310284667136
31,V700,Routine general medical examination at a health care facility,-38,0.456213426788218,1.426420261618481e-5,0.003885567303763054
32,53081,Esophageal reflux,-268,0.4981479016003752,8.405040277674122e-4,-9.876842588523859e-4
33,V5869,Long-term (current) use of other medications,-161,0.5353655113413471,8.38363641472431e-4,-0.0013389907288889552
34,41400,"Coronary atherosclerosis of unspecified type of vessel, native or graft",-360,0.5442421030452319,-0.03966291662419101,0.03935852957968706
35,49390,"Asthma, unspecified type, unspecified",-264,0.3631113063109385,-0.0013614822737036765,0.0020427464402990986
36,V709,Unspecified general medical examination,-121,0.30814792717017075,-3.97463090800623e-4,0.002307660473840322
37,7231,Cervicalgia,-1,0.32785202741551334,-4.378541969385881e-4,NA
38,7856,Enlargement of lymph nodes,-97,0.21530039672703652,4.921751498704281e-4,0.0060445970125256945
39,71946,"Pain in joint, lower leg",-133,0.4672831450549714,-1.665453184832107e-4,-0.0016740094116733013
40,78060,"Fever, unspecified",-100,0.22304698125548872,4.872777567983469e-4,0.003501687517985319
41,2720,Pure hypercholesterolemia,-17,0.4494612006976404,-2.1883229980847768e-4,-0.008100255739628165
42,515,Postinflammatory pulmonary fibrosis,-162,0.2828873149718924,5.820590864639962e-5,0.0025881256826289396
43,51881,Acute respiratory failure,-99,0.20690583811717034,1.9244808568078794e-4,0.004602813547821053
44,25002,"Diabetes mellitus without mention of complication, type II or unspecified type, uncontrolled",-161,0.3773594479095148,-5.00690014024994e-4,5.313569756816833e-4
45,7812,Abnormality of gait,-172,0.4713544427735208,7.393695651547596e-4,-0.0014761697410641875
46,7840,Headache,-297,0.4471420094703722,0.002145693309486285,-0.00228318081100625
47,4659,Acute upper respiratory infections of unspecified site,-135,0.3487638045698201,-1.624023029420352e-4,8.421881191691188e-4
48,V726,Laboratory examination,-243,0.3073202038586206,-4.835644614987355e-4,0.0013959515615145513
49,311,"Depressive disorder, not elsewhere classified",-313,0.50485521798604,0.0031207763051111117,-0.0035079654251978882
50,4779,"Allergic rhinitis, cause unspecified",-361,0.5171999788291031,0.06959438378790998,-0.06971942749135715
51,79319,Other nonspecific abnormal finding of lung field,-96,0.16744985647594,3.752869935932863e-4,0.005846096641692431
52,58881,Secondary hyperparathyroidism (of renal origin),-364,0.5199169484345848,0.2708303966476313,-0.2715706549351979
53,71941,"Pain in joint, shoulder region",-87,0.4778762357090448,3.495249394289975e-4,-0.0027431221853084892
54,V5861,Long-term (current) use of anticoagulants,-90,0.48684339486483175,2.0111427558178288e-4,-0.0026467263296477807
55,V0481,Need for prophylactic vaccination and inoculation against influenza,-317,0.3977186354284681,-0.0027688691180671886,0.0024786754620859416
56,49121,Obstructive chronic bronchitis with (acute) exacerbation,-99,0.37444300606627096,5.847387802491387e-5,0.0020490766249112386
57,V5811,Encounter for antineoplastic chemotherapy,-252,0.4359872817156639,8.320128928284979e-4,-0.001406771909776362
58,78321,Loss of weight,-126,0.3401998009031609,4.4797577114734285e-4,0.001942469101142748
59,32723,Obstructive sleep apnea (adult)(pediatric),-179,0.3727917659993745,-2.834353694007275e-5,-6.581147415808529e-4
60,4940,Bronchiectasis without acute exacerbation,-196,0.32221576290860937,4.522713927491081e-4,0.0010934980144632004
61,V7612,Other screening mammogram,-232,0.4547844313063489,3.25671587241609e-4,-0.001209648071520691
62,7244,"Thoracic or lumbosacral neuritis or radiculitis, unspecified",-71,0.32416888987744874,-1.86033970462207e-4,-0.002147429350142057
63,1749,"Malignant neoplasm of breast (female), unspecified",-173,0.5151628807453542,0.0010359542450774626,-0.0021883312236678125
64,V7231,Routine gynecological examination,-305,0.5084855954070147,0.0032862953964227885,-0.00413597140822012
65,7245,"Backache, unspecified",-334,0.33911781399066715,-0.002743170051531384,0.0029061858606747515
66,042,Human immunodeficiency virus [HIV] disease,-1,0.4891155523883013,5.72286569907517e-4,NA
