days_since_index,n_patient_visits
-365,991.7381798076689
-364,914.0009434262392
-363,982.8502529808369
-362,922.4003303334075
-361,777.203579496433
-360,809.9518617507738
-359,828.2853201683628
-358,854.385196170765
-357,1027.3609229538822
-356,775.5178300171118
-355,898.000486453508
-354,1226.720363672558
-353,885.8809689454553
-352,861.4228762391222
-351,977.36792466995
-350,763.7371099233757
-349,821.6525403199846
-348,736.1303053867198
-347,828.9705743408506
-346,1017.8707527773596
-345,902.0339329939773
-344,921.125410435256
-343,1101.1954423420632
-342,866.2798687644389
-341,944.4513761926918
-340,888.486721898403
-339,1060.7778034983662
-338,942.4068097935904
-337,712.6565955720718
-336,887.5276655583533
-335,908.0158100709016
-334,848.7118824595955
-333,958.686225047586
-332,915.6761513045421
-331,868.714366445529
-330,1064.8552539895825
-329,849.5427808365611
-328,879.9175516724813
-327,936.1026818339195
-326,965.251122060546
-325,995.9395176733201
-324,939.5340938308618
-323,826.5109635706183
-322,974.9461657854605
-321,939.5922381303191
-320,683.8237765426305
-319,922.4462791151753
-318,993.0279366475975
-317,1058.2585938391635
-316,1067.1813489487797
-315,752.7306596535102
-314,1006.8117179028325
-313,1042.402107716726
-312,980.9958016647882
-311,952.6426177839998
-310,945.3519827563774
-309,1020.6531691389081
-308,1047.8461752926094
-307,914.9639420638584
-306,988.1145739349537
-305,959.278705481547
-304,880.5729658382058
-303,1059.5127620522292
-302,871.9092282820261
-301,1049.3642791034367
-300,1002.105955706249
-299,1153.7097503918594
-298,931.774645290217
-297,965.6087857023109
-296,943.0782892117725
-295,980.7150186236629
-294,967.1726677013838
-293,1288.680904540753
-292,956.7329753828442
-291,924.0686670077548
-290,807.1666170841621
-289,911.928428428874
-288,949.5231761210935
-287,912.3705164911587
-286,935.4916110557292
-285,1070.656687892902
-284,932.7279939503769
-283,981.88791835821
-282,1046.629557540849
-281,890.2133740352784
-280,881.9715068557506
-279,1179.4133320333024
-278,1126.4883532090705
-277,1036.724088942454
-276,1117.4160630626022
-275,1009.1471238870295
-274,1073.2030823150526
-273,931.8766740010349
-272,1111.8320002459434
-271,974.9253319165829
-270,840.0000770800336
-269,1008.794222555054
-268,1014.5423165007767
-267,859.3647942729979
-266,765.3111031674047
-265,1094.9912543789526
-264,818.6332632964637
-263,1069.9644492687091
-262,839.521506538365
-261,1051.962321321609
-260,960.7719798209444
-259,869.4279805985049
-258,1007.7598644042245
-257,1083.002345713452
-256,898.589130895742
-255,986.0513287572807
-254,934.0020024841468
-253,1010.0370900200114
